boot,cv,feature,weight,std
boot0,cv1,gc_var,0.001147749422254315,0.0004501366635255583
boot0,cv1,entropy,0.0008234109695679468,0.0003927483992787956
boot0,cv1,patterns,0.0007200194336331563,0.0003213361913677556
boot0,cv1,pis,0.0006757710450675326,0.0003431477305266413
boot0,cv1,gc_mean_pos3,0.0004892326397513691,0.00018118843265278902
boot0,cv1,ter_len_mean,0.000465046587537349,0.0003704331255701709
boot0,cv1,LB_std,0.0004462952806997562,0.00040584561238134485
boot0,cv1,coeffVar_len,0.0003997655407963252,0.00020769829672808514
boot0,cv1,gc_mean_pos1,0.0003928894847838907,0.00024272782880045194
boot0,cv1,nheaders,0.0003541278542806134,0.00028204456495418154
boot0,cv1,rcv,0.00029189707999313863,0.0002537704998809805
boot0,cv1,treeness,0.00028763530635263196,0.00029952051449723285
boot0,cv1,gc_mean_pos2,0.0002811381371358844,0.00013106163775007576
boot0,cv1,gap_var_pos1,0.0002708995276871208,0.00046768245844783566
boot0,cv1,inter_len_mean,0.00026466238371057604,0.00021344336887239344
boot0,cv1,gap_var_pos3,0.00022026036672778858,0.00017012192178747544
boot0,cv1,nogap_prop,0.00021024203884482284,0.0002690221580930822
boot0,cv1,vars,0.00019670847068701077,0.0002718425145094816
boot0,cv1,gap_mean_pos3,0.00018750641938623496,0.0002349508505338206
boot0,cv1,gap_var_pos2,0.00018502537158052445,0.00019207105030151776
boot0,cv1,gc_mean,0.0001657317850127174,0.0001435995364462497
boot0,cv1,gc_var_pos3,0.00016532000077577546,0.0002203552528551851
boot0,cv1,gc_var_pos1,0.0001579413767046964,0.00016455432953954718
boot0,cv1,treeness_o_rcv,0.0001507296221791933,0.00021348166482610987
boot0,cv1,gap_mean_pos1,0.00013807347231274136,0.00011338993527417028
boot0,cv1,seq_len_nogap,0.00013737080133062533,0.000179100613004935
boot0,cv1,saturation,0.00013405075010651968,0.0003216909886389236
boot0,cv1,pi_std,0.00012011789430871487,0.00022421998963252299
boot0,cv1,pi_mean,0.00011463232962381622,0.0002553018198245366
boot0,cv1,inter_len_var,5.2736474362537475e-05,0.00014047302102177008
boot0,cv1,ter_len_var,4.939361028344538e-05,0.00022040852824538307
boot0,cv1,supp_mean,4.809342954080448e-05,0.00018098536084133347
boot0,cv1,gap_mean,3.893321222816465e-05,0.0001813260336958406
boot0,cv1,invariants,3.492713240292808e-05,0.00012929332892091188
boot0,cv1,seq_len,4.947956654238056e-06,9.662460198405577e-05
boot0,cv1,gap_var,4.600601787200509e-06,0.00012845603660485109
boot0,cv1,gap_mean_pos2,-1.158054605166492e-06,0.00013618016377670914
boot0,cv1,singletons,-2.5777746225851965e-05,0.000191270523926667
boot0,cv1,total_tree_len,-7.58308463203039e-05,0.00015075281915206197
boot0,cv1,gc_var_pos2,-0.00012481151804261278,0.00014910719710616043
boot0,cv2,gc_var_pos3,0.0005440809636057717,0.00024096620300813774
boot0,cv2,nheaders,0.0003837196823383102,0.00031819417419009653
boot0,cv2,gap_var_pos1,0.0002886112100356314,0.00024202116605215464
boot0,cv2,coeffVar_len,0.0002842888870109851,0.0001522754308470808
boot0,cv2,patterns,0.00022676215576635571,0.00022619379921652244
boot0,cv2,gap_var,0.00018009931765011132,0.0002127406092104275
boot0,cv2,entropy,0.00015655315333500661,0.00027434187590290185
boot0,cv2,seq_len,0.00011590000281275034,0.00010891594167784113
boot0,cv2,pis,0.00011474396078421961,0.00020054712207809574
boot0,cv2,gc_mean,0.00011182624666734448,4.439174443054194e-05
boot0,cv2,rcv,0.0001017445625497522,0.00010961787535636003
boot0,cv2,gap_var_pos2,9.476501609874372e-05,0.0001202710441016047
boot0,cv2,ter_len_var,9.143081121703728e-05,0.00013383039798587322
boot0,cv2,treeness_o_rcv,8.758459555528577e-05,0.00010052623397741629
boot0,cv2,seq_len_nogap,8.436272734952329e-05,6.900838439585645e-05
boot0,cv2,gc_mean_pos1,7.945656556309078e-05,0.00013268310180518486
boot0,cv2,supp_mean,7.812519621607103e-05,7.164860741441037e-05
boot0,cv2,singletons,7.33068971461992e-05,8.786184176932394e-05
boot0,cv2,invariants,6.969087118835149e-05,5.5197085868714564e-05
boot0,cv2,gc_var_pos1,5.290962809326838e-05,0.0001254827270007369
boot0,cv2,gap_mean_pos3,5.2431790407712066e-05,4.266251541642092e-05
boot0,cv2,saturation,4.663885201573334e-05,5.043418254093232e-05
boot0,cv2,gc_var,4.62363408190071e-05,6.286037339967588e-05
boot0,cv2,gc_mean_pos2,4.438625198130874e-05,4.0408570442014924e-05
boot0,cv2,pi_mean,3.882392984766781e-05,4.556741303640122e-05
boot0,cv2,gap_var_pos3,3.484154809465054e-05,0.00016975455501908642
boot0,cv2,gap_mean,2.75643361556982e-05,4.272326173563062e-05
boot0,cv2,gc_mean_pos3,1.6145634000245822e-05,7.849416652415548e-05
boot0,cv2,gap_mean_pos1,1.4937164054482365e-05,4.7111638055430455e-05
boot0,cv2,LB_std,1.3484740674081508e-06,6.240928350915825e-05
boot0,cv2,inter_len_mean,-2.74969554605653e-06,6.432912723949928e-05
boot0,cv2,pi_std,-6.789705945107749e-06,6.667917652403464e-05
boot0,cv2,ter_len_mean,-9.01191308608884e-06,0.00012515654441561547
boot0,cv2,treeness,-1.2489200487301733e-05,0.00011510741761687552
boot0,cv2,inter_len_var,-1.252059874507605e-05,8.267059012600016e-05
boot0,cv2,gap_mean_pos2,-2.3455024545796095e-05,4.698722093276149e-05
boot0,cv2,vars,-3.2142915685265255e-05,8.602810661162789e-05
