boot,cv,feature,weight,std
boot0,cv1,gc_mean_pos3,0.0013410818592613466,0.0009378231234979155
boot0,cv1,nheaders,0.0011178951723886893,0.0007130597022071159
boot0,cv1,gc_var,0.0009187290851312982,0.0006524003542425938
boot0,cv1,LB_std,0.0007260367617970337,0.0006896585565517105
boot0,cv1,treeness,0.0005806361788235867,0.000328299227885508
boot0,cv1,gc_var_pos3,0.0005531479934089518,0.000606991660019244
boot0,cv1,ter_len_mean,0.0005057024758909185,0.0009061886537086499
boot0,cv1,gc_mean_pos2,0.0004295414444743624,0.00034709104719310007
boot0,cv1,patterns,0.0003935726659146729,0.00027904137263002135
boot0,cv1,inter_len_mean,0.0003722729962729401,0.00040641866775118515
boot0,cv1,gc_mean_pos1,0.0002920029753946451,0.0004640102686000355
boot0,cv1,saturation,0.00028288127626215466,0.00039622876807192576
boot0,cv1,gap_var_pos1,0.00028204080549063595,0.0002871460499549215
boot0,cv1,singletons,0.00025485989842526563,0.000342015522277021
boot0,cv1,gc_var_pos2,0.0002484003722513972,0.00045983154673647273
boot0,cv1,seq_len_nogap,0.0002445262074730359,0.00041559401314728516
boot0,cv1,gap_var,0.00020419945506873274,0.0003645889806608526
boot0,cv1,supp_mean,0.00020048930406846437,0.00022385427356552145
boot0,cv1,gc_mean,0.00017242362306750108,0.0002143618451533089
boot0,cv1,rcv,0.00013223869409539972,0.00016365668507825794
boot0,cv1,seq_len,9.458949798482927e-05,0.00043205889644537396
boot0,cv1,gap_var_pos3,7.553402669886535e-05,0.0003777952664708232
boot0,cv1,gap_var_pos2,5.976781337744208e-05,0.0003532816323758347
boot0,cv1,ter_len_var,3.3238308602094036e-05,0.00011627681465821485
boot0,cv1,entropy,1.9323107389163376e-05,0.0002472024175246851
boot0,cv1,gap_mean,9.925908221914138e-06,0.0002222225404839088
boot0,cv1,inter_len_var,9.027005948515631e-06,0.0003144167320204374
boot0,cv1,nogap_prop,8.130137540614257e-06,0.0002395165104597444
boot0,cv1,vars,4.662193301739753e-06,0.000506275075449428
boot0,cv1,pi_std,-4.299905105533824e-06,0.00037701465935515354
boot0,cv1,pi_mean,-9.019124951461927e-06,0.0001817456810432857
boot0,cv1,gc_var_pos1,-3.759484404925642e-05,0.0004174713891965635
boot0,cv1,total_tree_len,-5.414462383336829e-05,0.0004356255893063697
boot0,cv1,coeffVar_len,-8.603816716448484e-05,0.0001385120504125998
boot0,cv1,gap_mean_pos3,-9.763228946181882e-05,0.0001768978212413107
boot0,cv1,invariants,-0.00010317973055796542,0.00013325141640944916
boot0,cv1,pis,-0.00012119329769796918,0.0002729192495798503
