1.017503901283727946e-01,8.593612132747121546e-01
1.232774503579761871e-01,8.745009590931756005e-01
1.011519895535573366e-01,8.593669349102593946e-01
1.004462228356715475e-01,8.645882063437668741e-01
1.014817763891558838e-01,8.595911285591747442e-01
1.125098824660518276e-01,8.478887106476543645e-01
8.749582792430553313e-02,8.795222076999624772e-01
1.029552142122845543e-01,8.578197667379207081e-01
1.057905258872555987e-01,8.535190544842951033e-01
9.092710685819530014e-02,8.740386291721343737e-01
1.097836882481562637e-01,8.488351476590165756e-01
1.211760703600597844e-01,8.398114348329248635e-01
1.129900130236282108e-01,8.664033789848498701e-01
1.026441617947024959e-01,8.642167217584338923e-01
1.026799246424729972e-01,8.584926768453797763e-01
1.054855142361682957e-01,8.537240852304724958e-01
1.060769981585888561e-01,8.623619988033908168e-01
1.012884221189757072e-01,8.610107745039853322e-01
1.046434971840461692e-01,8.581459520611443015e-01
9.781390663445624356e-02,8.633957670806717832e-01
